id,player_name,games,min_PG,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season
11898,Mateo Retegui,10,70.3,10,8.16,3,1.32,38,13,1,0,F S,Atalanta,8,6.64
5992,Marcus Thuram,10,82.0,7,5.13,2,1.21,28,15,0,0,F,Inter,7,5.13
7084,Dusan Vlahovic,10,84.1,6,8.55,0,0.59,38,5,1,0,F,Juventus,3,6.27
2662,Christian Pulisic,9,75.78,5,3.4,3,2.45,15,20,0,0,F M S,AC Milan,4,2.64
7453,Khvicha Kvaratskhelia,10,71.2,5,2.9,2,2.32,30,14,1,0,F M S,Napoli,4,2.14
594,Romelu Lukaku,8,72.75,4,3.13,4,1.08,12,8,1,0,F S,Napoli,3,2.37
1304,Moise Kean,9,83.0,4,7.37,1,0.77,38,7,1,0,F,Fiorentina,4,6.61
4918,Patrick Cutrone,9,83.56,4,3.24,0,0.5,24,5,0,0,F,Como,4,2.47
5222,Joel Pohjanpalo,8,81.88,4,3.8,0,0.7,11,8,0,0,F,Venezia,2,1.51
5556,Ademola Lookman,7,62.29,4,4.0,4,2.98,21,20,0,0,F M S,Atalanta,3,3.24
7006,Lautaro Martínez,9,84.0,4,4.47,2,1.12,27,14,0,0,F,Inter,4,4.47
10895,Dany Mota,8,59.62,4,1.36,0,0.14,6,3,2,0,M S,Monza,4,1.36
11936,Lorenzo Lucca,10,71.2,4,2.16,0,0.12,14,4,4,0,F S,Udinese,4,2.16
942,Florian Thauvin,7,69.14,3,3.07,1,0.62,10,6,0,0,F M S,Udinese,3,2.3
1148,Duván Zapata,7,85.29,3,3.21,0,0.58,21,9,1,0,F,Torino,3,3.21
3856,Milan Djuric,9,73.22,3,1.83,1,0.53,11,3,2,0,F S,Monza,3,1.83
4895,Andrea Pinamonti,8,78.75,3,0.81,0,0.07,15,3,2,0,F S,Genoa,3,0.81
4981,Davide Frattesi,10,53.4,3,1.55,1,0.97,13,3,0,0,M S,Inter,3,1.55
6160,Riccardo Orsolini,8,73.12,3,3.51,0,0.51,24,4,0,0,F M,Bologna,2,2.75
6601,Timothy Weah,6,45.17,3,1.76,1,0.99,6,6,0,0,F M S,Juventus,3,1.76
6978,Giovanni Di Lorenzo,10,90.0,3,2.44,0,0.99,8,15,2,0,D,Napoli,3,2.44
7224,Boulaye Dia,8,64.12,3,1.69,0,0.82,9,5,0,0,F M S,Lazio,3,1.69
7700,Che Adams,9,62.33,3,1.84,1,0.73,14,8,0,0,F S,Torino,3,1.84
9303,Dennis Man,10,73.9,3,2.37,2,2.9,20,23,0,0,M S,Parma Calcio 1913,3,2.37
10366,Albert Gudmundsson,4,50.5,3,1.7,0,0.0,6,0,0,0,F M S,Fiorentina,1,0.18
10948,Valentín Castellanos,8,86.88,3,5.07,1,1.09,29,6,2,0,F,Lazio,3,4.31
11736,Artem Dovbyk,9,89.0,3,4.36,0,0.29,23,5,0,0,F,Roma,3,4.36
12528,Santiago Castro,9,78.56,3,1.85,1,0.68,20,4,1,0,F S,Bologna,3,1.85
12784,Ange-Yoan Bonny,10,76.8,3,4.24,1,1.81,25,13,0,0,F,Parma Calcio 1913,2,2.72
12855,Casper Tengstedt,9,72.0,3,2.89,0,0.15,12,4,2,0,F M S,Verona,2,2.13
12857,Daniel Mosquera,9,38.56,3,2.15,1,0.71,14,5,1,0,F S,Verona,3,2.15
687,Pedro,5,16.8,2,0.79,0,0.37,3,3,1,0,S,Lazio,2,0.79
1178,Davide Zappacosta,9,64.89,2,0.51,1,0.96,14,8,1,0,D M S,Atalanta,2,0.51
1206,Danilo Cataldi,7,74.14,2,0.45,0,0.11,8,4,0,0,M,Fiorentina,2,0.45
